x,reaction_progress
0.01788,0.9999967610637356
0.0179,0.9999968608217092
0.01792,0.9999969599810902
0.01794,0.9999970585313446
0.01796,0.9999971564616106
0.01798,0.9999972537606878
0.018,0.9999973504170254
0.01802,0.9999974464187102
0.01804,0.9999975417534541
0.01806,0.9999976364085835
0.01808,0.9999977303710231
0.0181,0.9999978236272846
0.01812,0.9999979161634508
0.01814,0.9999980079651625
0.01816,0.9999980990176022
0.01818,0.999998189305479
0.0182,0.9999982788130125
0.01822,0.9999983675239156
0.01824,0.9999984554213776
0.01826,0.9999985424880463
0.01828,0.9999986287060098
0.0183,0.9999987140567772
0.01832,0.9999987985212605
0.01834,0.9999988820797524
0.01836,0.999998964711909
0.01838,0.999999046396726
0.0184,0.9999991271125191
0.01842,0.9999992068369022
0.01844,0.9999992855467645
0.01846,0.9999993632182487
0.01848,0.9999994398267275
0.0185,0.9999995153467819
0.01852,0.9999995897521768
0.01854,0.9999996630158378
0.01856,0.9999997351098286
0.01858,0.9999998060053281
0.0186,0.9999998756726056
0.01862,0.9999999440810015
0.01864,1.000000011198902
0.01866,1.0000000769937192
0.01868,1.000000141431872
0.0187,1.0000002044787653
0.01872,1.000000266098772
0.01874,1.0000003262552177
0.01876,1.0000003849103671
0.01878,1.0000004420254118
0.0188,1.0000004975604597
0.01882,1.000000551474532
0.01884,1.0000006037255593
0.01886,1.0000006542703845
0.01888,1.0000007030647702
0.0189,1.00000075006341
0.01892,1.0000007952199492
0.01894,1.0000008384870098
0.01896,1.0000008798162245
